id,key,value,type
29487634,name:zh_pinyin,yān yǔ nán jiē,regular
29487634,oneway,yes,regular
29487636,leisure,park,regular
29487636,name,dongshanhugongyuan,regular
29487636,name:en,Tung Shan the Lake Park,regular
29487638,leisure,park,regular
29487638,name,hongchenggongyuan,regular
29487638,name:en,Marvelcity Park,regular
29487639,amenity,theatre,regular
29487639,building,yes,regular
29487639,name,xinghaiyinyueting,regular
29487639,name:en,Xinghai Concert Hall,regular
29487639,theatre,concert_hall,regular
29487639,theatre:genre,musical,regular
29487639,website,http://www.concerthall.com.cn/,regular
29487639,wikidata,Q11088591,regular
29487639,wikipedia,zh:xinghaiyinyueting,regular
29490355,source,PGS,regular
29490356,source,PGS,regular
29490791,source,PGS,regular
29490792,ship,yes,regular
29490792,source,PGS,regular
29490792,waterway,riverbank,regular
30431657,bridge,yes,regular
30431657,highway,primary,regular
30431657,int_name,Jiefang Middle Rd.,regular
30431657,lanes,3,regular
30431657,name,jiefangzhonglu,regular
30431657,oneway,yes,regular
30431658,highway,secondary,regular
30431658,name,sanyuanlidadao,regular
30431658,name:en,Sanyuanli Avenue,regular
30431658,name:zh,sanyuanlidadao,regular
30431658,oneway,yes,regular
30440809,highway,secondary,regular
30440809,name,liuhualu,regular
30440809,name:en,Liuhua Road,regular
30440809,oneway,yes,regular
30440810,highway,tertiary,regular
30440810,name,shibafubeilu,regular
30440810,name:en,18th Mart North Road,regular
30440810,oneway,yes,regular
30440811,highway,footway,regular
30440812,highway,footway,regular
30440813,highway,tertiary_link,regular
30440813,oneway,yes,regular
30440813,wikipedia,zh:duobaolu,regular
30440814,highway,footway,regular
30440814,name,caojiyijie,regular
30440815,highway,footway,regular
30440816,highway,footway,regular
30440816,name,Lychee Bay Street,regular
30440818,highway,footway,regular
30678899,leisure,park,regular
30678899,name,liwanhugongyuan,regular
30678899,name:en,Liwan Lake Park,regular
30678900,layer,-1,regular
30678900,leisure,park,regular
30678900,name,liuhuahugongyuan,regular
30678900,name:en,Liuhuahu Park,regular
30678900,name:zh,liuhuahugongyuan,regular
33506649,highway,motorway_link,regular
33506649,oneway,yes,regular
33506650,highway,motorway_link,regular
33506650,oneway,yes,regular
